正文 nz
告诉 v
这个 r
人 n
。 x
我 r
现在 t
需要 v
有 v
一个 m
我 r
信任 n
的 uj
人 n
来 v
倾听 v
我 r
的 uj
委屈 v
和 c
痛苦 an
， x
否则 c
我 r
在 p
心里 s
确实 ad
要 v
闷 v
出病 v
来 v
。 x
我 r
犹豫 a
了 ul
一会 m
， x
便 d
用 p
一种 m
拉家常 nr
的 uj
语调 n
向 p
吴有雄 x
叙说 v
了 ul
我 r
和 c
薛峰 x
的 uj
前前后后 i
… x
… x
吴有雄 x
一边 d
走 v
， x
一边 d
静静地 z
听 v
我 r
说 v
。 x
等 u
我 r
说完 v
后 f
， x
他 r
下子 n
站住 v
了 ul
， x
他 r
大概 d
想 v
安慰 v
我 r
， x
又 d
不知 v
自己 r
该 r
说 v
什么 r
。 x
过 ug
了 ul
一会儿 m
， x
才 d
说 v
： x
“ x
你 r
… x
… x
想开 v
些 q
。 x
要 v
不 d
， x
你 r
先 d
回 v
城里 s
住 v
一段 m
， x
我 r
开 v
拖拉机 n
送 v
你 r
。 x
要 v
不 d
， x
你 r
干脆 d
请假 v
再 d
去 v
找 v
找 v
他 r
… x
… x
” x
我 r
惨淡 z
地 uv
笑了笑 l
， x
对 p
他 r
摇摇头 v
。 x
他 r
怔 v
了 ul
一会 m
， x
然后 c
说 v
： x
“ x
要么 c
这样 r
， x
明天 t
晚上 t
农场 n
工人 n
都 d
要 v
去 v
黑 a
龙滩 ns
大队 n
看 v
戏 n
， x
你 r
也 d
去 v
散散心 n
… x
… x
农民 n
避雨 v
唱戏 n
， x
很 zg
有意思 l
！ x
” x
我 r
想 v
了 ul
一下 m
， x
觉得 v
出去 v
走走 v
也好 y
。 x
我 r
对 p
他 r
说 v
： x
“ x
那 r
好 a
， x
我 r
去 v
… x
… x
” x
第二天 m
下午 t
吃过饭 l
， x
农场 n
所有 b
的 uj
人 n
都 d
穿 v
上 f
了 ul
自己 r
的 uj
见 v
人 n
衣裳 n
， x
有 v
的 uj
不洗 v
了 ul
头 n
， x
乱 d
了 ul
胡须 d
， x
就 d
像 v
要 v
去 v
参加 v
什么 r
典礼 n
似的 u
。 x
大家 n
的 uj
高兴 b
可以 c
理解 v
， x
沙漠 n
里 f
一年 m
也 d
没 v
多少 m
这样 r
的 uj
娱乐 vn
机会 n
。 x
拖拉机 n
在 p
前 f
院里 s
吼叫 v
起来 v
， x
大家 n
纷纷 d
向 p
那里 r
赶 v
去 v
。 x
我 r
知道 v
拖拉机 n
没 v
座位 n
， x
就 d
拿 v
了 ul
个 q
小凳 n
。 x
我 r
来到 v
前院 n
， x
看见 v
拖拉机 n
的 uj
斗 vn
车里 s
挤 v
了 ul
许多 m
人 n
。 x
吴有雄 x
已经 d
坐在 v
了 ul
驾驶座 nz
上 f
。 x
车厢 n
旁边 f
有个 r
小 n
土墩 n
， x
我 r
踩 v
着 uz
土墩 n
进 v
了 ul
车厢 n
。 x
我 r
把 p
小凳 n
放在 v
一个 m
角落里 n
， x
便 d
坐下 v
来 v
。 x
车上 s
， x
有 v
的 uj
人手 n
把 p
着 uz
车沿 s
站 v
着 uz
， x
有 v
的 uj
人带 n
个 q
破 v
麻袋 n
铺 v
下 f
， x
席地而坐 i
。 x
我 r
对面 n
坐 v
着 uz
曹生荣 x
。 x
他 r
穿 v
一身 m
新 a
衣服 n
， x
光头 n
上 f
戴 v
一顶 m
新 a
制帽 n
， x
笑嘻嘻 z
地 uv
对 p
我 r
打呼 v
。 x
车里 s
的 uj
人 n
见 v
我 r
也 d
去 v
， x
都 d
惊讶 a
地 uv
看 v
我 r
， x
并且 c
向 p
我 r
开玩笑 v
― x
― x
当然 d
不 d
太 d
粗鲁 a
了 ul
。 x
拖拉机 n
出 v
了 ul
农场 n
， x
就 d
在 p
当地人 n
称 v
“ x
羊 n
脑子 n
” x
地白 n
粘土 n
路 n
起来 v
。 x
道路 n
坑坑洼洼 l
， x
把 p
人 n
的 uj
五脏六腑 i
都 d
要 v
抖出来 i
。 x
我 r
在 p
小凳 n
上 f
坐不稳 v
， x
就 d
站 v
起用 v
手把 n
着 uz
车沿 s
。 x
拖拉机 n
进入 v
到 v
一望无际 i
的 uj
大 n
沙漠 n
的 uj
腹地 n
。 x
视野 n
之内 f
全 a
是 v
一片 m
单调 n
的 uj
黄色 n
， x
只有 c
个 m
把 p
牛心 n
草 n
点缀 v
在 p
道路 n
边上 s
。 x
拖拉机 n
剧烈地 n
颠簸 v
着 uz
， x
我 r
的 uj
手 n
震得 v
发麻 n
， x
但 c
不敢 d
松开 v
。 x
我们 r
的 uj
曹生荣 x
在 p
车厢 n
里 f
不时 c
被 p
掼倒 x
在 p
地 n
， x
像 v
皮球 n
一样 r
滚来滚去 z
， x
惹 v
得 ud
大家 n
哈哈大笑 l
。 x
最后 f
边 d
站 v
着 uz
的 uj
侯会计 x
走 v
过来 t
坐下 v
， x
和 c
曹生荣 x
脊背 n
靠 v
脊背 n
， x
才 d
算救 v
了 ul
他 r
的 uj
驾 n
。 x
走 v
了 ul
好 a
一阵 m
， x
路边 s
出现 v
了 ul
一个 m
村子 n
。 x
我 r
看见 v
， x
村子 n
周围 f
的 uj
庄稼 n
都 d
快 a
晒干 n
了 ul
， x
马槽 nr
井里 s
看不见 v
一滴水 n
。 x
拖拉机 n
在 p
村中 s
停 v
了 ul
下来 t
。 x
我 r
以为 c
到 v
了 ul
黑 a
龙滩 ns
， x
但 c
听车 v
的 uj
人 n
说 v
这 r
是 v
吴有雄 x
他们 r
村 zg
。 x
路上 s
已经 d
挤 v
了 ul
许多 m
人 n
， x
把 p
吴有雄 x
拦住 v
了 ul
― x
― x
他们 r
显然 ad
想要 v
搭 v
他 r
的 uj
车 n
去 v
看 v
戏 n
。 x
吴有雄 x
无奈 d
， x
只好 d
挥 v
了 ul
挥手 v
， x
让 v
他们 r
上车 n
。 x
一群 m
男男女女 l
很快 d
抢 v
着 uz
往上 d
挤 v
， x
把 p
车厢 n
塞 v
得 ud
满满的 z
。 x
车 n
一 m
走动 v
， x
车厢 n
里 f
的 uj
人 n
被 p
挤 v
得 ud
直 d
叫唤 v
。 x
喊声 n
、 x
笑 v
骂声 n
和 c
拖拉机 n
的 uj
吼叫声 n
， x
使得 v
荒凉 a
的 uj
沙漠 n
充满 a
了 ul
一种 m
欢乐 a
的 uj
热 n
气氛 n
… x
… x
不久 a
， x
拖拉机 n
就 d
开到 v
了 ul
目的地 n
。 x
这 r
是 v
一个 m
方圆 n
有 v
二 m
华里 ns
的 uj
大 n
草滩 n
。 x
地势 n
平阔 a
， x
植被 n
尽管 c
稀疏 a
， x
但 c
裁 v
着 uz
许多 m
幼小 n
的 uj
柳树 nr
― x
― x
现在 t
都 d
变成 v
了 ul
拴马桩 n
。 x
几乎 d
每 zg
一棵树 ns
上 f
都 d
拴着 v
马 n
。 x
整个 b
草滩 n
上 f
到处 d
都 d
是 v
散乱 v
的 uj
人群 n
， x
一片 m
嘈杂 a
热闹 a
的 uj
景象 n
。 x
远处 s
一个 m
土台 n
挂 v
了 ul
一些 m
红红绿绿的 z
布帐 n
， x
上面 f
正在 t
唱戏 n
― x
― x
不过 c
看戏 v
的 uj
人 n
并不多 l
， x
大部分 m
人 n
散落 v
在 p
各处 r
做 v
名式 n
各样 r
的 uj
事 n
。 x
蒙古人 nrt
全家 n
席地而坐 i
， x
一边 d
唱 v
酒 n
， x
一边 d
唱歌 n
。 x
一些 m
姑娘 n
在 p
照像 v
摊前 s
摆好 v
姿势 n
， x
等待 v
打扮 v
得 ud
流里流气 n
的 uj
摄影师 n
按 p
快门 d
。 x
不时 c
有人 r
离去 v
或 c
走来 v
， x
大部分 m
人 n
都 d
骑着马 n
。 x
我 r
看见 v
许多 m
蒙族 nz
或 c
汉族 nz
妇女 n
骑 v
在 p
马上 d
， x
头上 s
扎 v
着 uz
五颜六色 i
的 uj
头巾 n
， x
有 v
的 uj
怀里 s
还 d
抱 v
着 uz
孩子 n
。 x
有 v
的 uj
男女 n
青年 t
同 p
骑 n
一匹 m
马 n
， x
男 b
的 uj
搂 v
着 uz
女 b
的 uj
腰 n
， x
给 p
人 n
一种 m
极 d
浪漫 a
的 uj
情趣 n
。 x
在 p
看戏 v
的 uj
人围 n
外边 f
， x
是 v
一圈 m
卖 v
吃喝 v
的 uj
小贩 n
。 x
这些 r
人 n
就 d
地 uv
挖 v
了 ul
炉灶 n
， x
卖 v
的 uj
大部分 m
是 v
羊肉 n
， x
往往 t
大块 n
大块 n
煮 v
在 p
锅 n
里 f
。 x
洗碗 n
水 n
和 c
熬 v
羊肉 n
的 uj
汤 n
脏得 n
不堪入目 i
， x
但 c
许多 m
人 n
却 d
吃 v
得 ud
津津有味 i
。 x
空气 n
中 f
弥漫着 l
沙尘 nr
， x
弥漫着 l
一股 m
难闻 n
的 uj
羊 n
膻味 n
。 x
我们 r
的 uj
人 n
从 p
拖拉机 n
上 f
下来 t
后 f
， x
就 d
四散 j
了 ul
。 x
吴有雄 x
跟 p
大家 n
约定 v
， x
八点钟 m
到 v
拖拉机 n
旁边 f
集合 v
。 x
我 r
一个 m
人 n
怀着 v
新奇 nrt
而 c
兴奋 v
的 uj
心情 n
， x
先 d
在 p
这个 r
闹哄哄 z
的 uj
世界 n
里 f
瞎转 v
了 ul
一通 m
， x
然后 c
又 d
来到 v
戏台 n
下看 v
了 ul
一会 m
戏 n
。 x
戏 n
是 v
旧戏 n
， x
是 v
一个 m
公社 n
剧团 n
在 p
演出 v
， x
水平 n
极 d
低 a
， x
加上 v
扩音 v
设备 vn
不好 d
， x
连 nr
一个 m
字 n
也 d
听 v
不 d
清楚 a
， x
只 d
听见 v
一群 m
人 n
在 p
台上 s
瞎 v
嚷嚷 v
。 x
打问 v
了 ul
一下 m
周围 f
的 uj
人 n
， x
说唱 v
的 uj
是 v
《 x
玉堂春 nr
》 x
。 x
我 r
对 p
戏 n
没 v
兴趣 n
， x
就 d
又 d
走出 v
这个 r
人圈 n
， x
穿过 v
卖 v
羊肉 n
杂碎 a
的 uj
摊子 n
， x
向 p
大 n
草滩 n
的 uj
边缘 n
走 v
去 v
。 x
我 r
看见 v
远处 s
像 v
有 v
一个 m
村子 n
， x
笼罩 v
在 p
一片 m
浓密 a
的 uj
沙柳 nr
丛中 f
。 x
我 r
突然 ad
碰见 v
了 ul
吴有雄 x
。 x
他 r
让 v
我 r
去 v
看 v
龙王庙 nr
。 x
他 r
说 v
那 r
里面 f
景致 a
多着呢 n
！ x
我 r
于是 c
又 d
跟 p
他 r
去 v
看 v
龙王庙 nr
。 x
路上 s
， x
吴有雄 x
告诉 v
我 r
说 v
， x
这个 r
庙 n
很早以前 l
就 d
有 v
， x
文化 n
革命 vn
砸烂 v
了 ul
。 x
现在 t
的 uj
庙 n
是 v
前年 t
才 d
修 v
起来 v
的 uj
， x
资金 n
由 p
周围 f
几个 m
村子 n
筹集 v
。 x
听说 v
还 d
建立 v
了 ul
庙会 n
， x
负责人 n
都 d
是 v
各 r
大队书记 x
― x
― x
这次 r
唱戏 n
， x
就是 d
庙会 n
组织 v
的 uj
， x
目的 n
是求 v
龙王爷 nr
普降甘霖 nr
， x
以 p
拯救 v
快要 d
晒 v
死 v
在 p
庄稼 n
… x
… x
既 c
是 v
党支部 j
书记 n
， x
又 d
是 v
庙会 n
负责人 n
， x
这 r
真是 d
神权 n
一体 n
， x
政教合一 l
了 ul
。 x
在 p
这 r
边远 nr
落后地区 ns
， x
目前 t
这种 r
现象 n
并 c
不少 d
见 v
， x
县 n
土乡 n
上 f
对 p
这类 r
事 n
也 d
大部分 m
睁一只眼 n
闭一只眼 i
。 x
我们 r
来到 v
一个 m
沙丘 nr
上 f
， x
进 v
了 ul
一座 m
土墙 n
围着 v
的 uj
小院 n
― x
― x
这 r
就是 d
庙 n
。 x
一座 m
砖 n
砌 v
的 uj
小房 n
， x
凹 a
进去 v
的 uj
窗户 n
上挂 v
了 ul
许多 m
红布 nr
匾 n
， x
布 nr
上面 f
写 v
着 uz
“ x
答报 v
神恩 nr
” x
、 x
“ x
有求必应 l
” x
之类 r
的 uj
字 n
。 x
右 f
房角 j
挂 v
一面 m
铜锣 n
， x
左 m
房角 j
吊 zg
一口 m
铁钟 n
― x
― x
此二 t
物 n
不知 v
何 r
讲究 vn
！ x
门 n
两边 f
写 v
一副 m
对联 vn
， x
上 f
有 v
错误 n
字 n
两个 m
。 x
对联 vn
曰 zg
： x
入 v
龙宫 nr
风调雨顺 i
， x
出 v
龙宫 nr
国太 nr
（ x
泰 ns
） x
明 a
（ x
民 ng
） x
安 v
。 x
我 r
看着 v
这些 r
玩艺 n
， x
只 d
感到 v
新奇 nrt
而 c
好笑 v
。 x
我 r
问 v
吴有雄 x
： x
“ x
你 r
信不信 v
神 n
？ x
” x
他 r
犹豫 a
了 ul
一下 m
， x
说 v
： x
“ x
我 r
不信 v
。 x
但 c
我 r
从来 d
不敢 d
说 v
不信 v
。 x
因为 c
这里 r
许多 m
老百姓 n
都 d
信 v
… x
… x
你 r
要说 c
是 v
不信 v
， x
大家 n
就 d
把 p
你 r
看成 v
野蛮 a
人 n
了 ul
！ x
” x
“ x
啊 zg
？ x
不 d
信神 n
反倒 v
成 v
了 ul
野蛮 a
？ x
” x
我 r
惊讶 a
地 uv
叫 v
道 q
。 x
我们 r
都 d
笑 v
了 ul
。 x
然后 c
一块 m
进 v
了 ul
庙堂 n
内 n
。 x
庙堂 n
里 f
画 v
得 ud
五颜六色 i
。 x
水泥 n
供 v
台上 s
供 v
着 uz
木牌 n
神位 n
。 x
神位 n
前有 v
灰盒 n
， x
香烟 n
正在 t
神案 n
上 f
飘绕 v
― x
― x
整个 b
庙里 ns
弥漫着 l
一股 m
卫生香 nr
的 uj
味道 n
。 x
一盏 m
长明灯 n
静静地 z
立在 d
香灰 n
盒边 n
。 x
地上 s
的 uj
墙角 n
里 f
， x
扔 v
着 uz
一堆 m
照庙 n
人 n
的 uj
破烂 v
铺盖卷 n
。 x
抬头 v
看 v
， x
正面 ad
墙 n
上面 f
着 uz
五位 m
主神 n
： x
五 m
海龙王 nr
居中 v
， x
两边 f
分别 d
药王 n
菩萨 n
， x
虫 n
郎 ng
将军 n
， x
行雨 n
龙王 nr
和 c
一位 m
无名 v
神 n
。 x
两侧 f
墙上 s
都 d
是 v
翻飞 v
的 uj
吉祥 nr
云彩 nr
， x
许多 m
骑马 n
乘龙 nz
的 uj
神 n
正在 t
这 r
云彩 nr
里 f
驰骋 v
。 x
看来 v
造神者 n
画技 n
极其 d
拙劣 a
， x
所有 b
的 uj
神 n
都 d
画 v
得 ud
不成比例 i
― x
― x
也许 d
神形 n
就是 d
如此 c
吧 y
？ x
我 r
和 c
吴有雄 x
谁 r
也 d
不 d
说话 v
， x
静静地 z
看 v
了 ul
一会 m
就 d
出来 v
了 ul
。 x
我们 r
俩 m
转 v
出来 v
的 uj
时候 n
， x
我 r
突然 ad
发现 v
， x
在 p
那 r
一排 m
挂 v
着 uz
的 uj
匾 n
中 f
， x
竟然 d
有 v
写 v
着 uz
“ x
曹生荣 x
敬献 nr
” x
的 uj
一块 m
。 x
别人 r
是 v
红布 nr
， x
这 r
人 n
却是 d
红绸 n
子 ng
， x
上写 v
“ x
我 r
神 n
显灵 v
” x
四个 m
字 n
。 x
我 r
怀疑 v
是 v
别处 r
有个 r
叫 v
曹生荣 x
的 uj
人 n
挂 v
的 uj
， x
但 c
吴有雄 x
笑了笑 l
， x
说 v
： x
“ x
就是 d
咱们 r
曹生荣 x
的 uj
… x
… x
他 r
老婆 n
有 v
肝炎 n
… x
… x
” x
这 r
真让人 n
哭笑不得 l
！ x
一个 m
共产党员 n
场长 n
， x
有 v
病 n
不 d
求医 v
而 c
求神 v
来 v
了 ul
！ x
我们 r
回到 v
草滩 n
的 uj
时候 n
已经 d
快 a
八点 m
了 ul
。 x
农场 n
的 uj
工人 n
们 k
都 d
纷纷 d
聚集 v
在 p
了 ul
拖拉机 n
旁 f
， x
有 v
的 uj
人 n
已经 d
坐在 v
了 ul
车厢 n
里 f
。 x
远处 s
的 uj
戏台 n
上 f
， x
一个 m
老生 n
在 p
枯燥无味 i
地 uv
唱 v
着 uz
什么 r
。 x
我们 r
返回 v
的 uj
时候 n
， x
夜幕 n
已经 d
扑落 v
下来 t
。 x
沙漠 n
沉浸 v
在 p
无边 d
的 uj
黑暗 z
中 f
。 x
拖拉机 n
的 uj
车灯 n
扫射 v
着 uz
前面 f
的 uj
路 n
和 c
远处 s
的 uj
沙丘 nr
。 x
天空 n
似乎 d
罩 v
上 f
了 ul
一层 m
乌云 nr
似的 u
， x
远处 s
已经 d
亮起 v
了 ul
闪电 v
。 x
不久 a
， x
就 d
传来 v
一声 m
闷雷 n
― x
― x
看来 v
要 v
下雨 v
了 ul
！ x
车上 s
的 uj
人 n
都 d
欢呼 v
起来 v
， x
都 d
说 v
这 r
祈雨 v
戏 n
唱 v
好 a
了 ul
， x
五 m
海龙王 nr
即刻 d
就 d
显 v
了 ul
灵 a
。 x
大家 n
高兴 b
得 ud
又 d
喊 v
又 d
叫 v
。 x
曹生荣 x
坐在 v
我 r
对面 n
， x
脊背 n
仍然 d
顶 v
着 uz
侯会计 x
的 uj
脊背 n
。 x
借着 p
一道 m
闪电 v
的 uj
亮光 n
， x
我 r
看见 v
这位 rz
信神 n
的 uj
共产党员 n
抬起 v
头 n
敬畏 nr
地 uv
看着 v
天空 n
… x
… x
我 r
忍不住 v
笑 v
了 ul
。 x
十五 m
（ x
薛峰 x
） x
我 r
吞食 v
了 ul
自己 r
播种 v
的 uj
苦果 n
以后 f
， x
便 d
觉得 v
人世间 n
的 uj
生活 vn
一下子 m
暗谈 v
了 ul
。 x
我 r
厌恶 v
别人 r
， x
也 d
厌恶 v
自己 r
。 x
我 r
再 d
无心 v
去 v
听 v
什么 r
音乐会 nt
了 ul
： x
所有 b
的 uj
音乐 n
听 v
起来 v
都 d
是 v
噪音 n
。 x
我 r
也 d
再不去 v
看 v
画展 n
： x
所有 b
线条 n
和 c
色彩 n
看起来 v
都 d
是 v
些 q
乱七八糟 i
的 uj
涂抹 nr
。 x
我 r
不 d
读书 n
也 d
懒得 v
看报 v
― x
― x
这些 r
东西 ns
似乎 d
都 d
与 p
我 r
的 uj
生活 vn
不相干 l
。 x
我 r
也 d
不 d
经常 d
上街 ns
了 ul
。 x
我 r
现在 t
不 d
明白 nr
街上 s
的 uj
人 n
为什么 r
要 v
喜气洋洋 i
― x
― x
有 v
什么 r
可乐 a
的 uj
呢 y
？ x
但 c
不管怎样 l
， x
我 r
还 d
总得 v
要 v
按时 d
上班 v
。 x
上班 v
时像 n
没魂 v
儿 n
似的 u
无精打采 i
， x
我 r
已经 d
分不清 l
诗稿 n
哪个 r
算 v
好 a
哪个 r
算坏 v
， x
反正 d
看来 v
都 d
差不多 l
。 x
凑合着 a
挑 v
几篇 m
送给 v
吴洁 x
吧 y
！ x
吴洁 x
显然 ad
对 p
我 r
的 uj
工作 vn
越来越 d
不 d
满意 v
了 ul
， x
常常 d
叹一口气 i
说 v
： x
“ x
这 r
是 v
些 q
什么 r
诗 n
啊 y
！ x
你 r
怎么 r
能 v
把 p
这样 r
的 uj
诗 n
挑出来 vn
送审 v
呢 y
？ x
” x
你 r
说 v
去 v
吧 y
， x
我 r
就 d
这个 r
水平 n
。 x
我 r
看不出来 v
有 v
什么 r
好 a
诗 n
。 x
不管怎样 l
， x
你 r
把 p
我 r
一下子 m
也 d
赶不出 v
诗歌 n
组 zg
。 x
这种 r
机关 n
也 d
不是 c
吃大锅饭 l
？ x
你 r
就 d
得 ud
让 v
我 r
吃 v
下去 t
。 x
至于 p
诗稿 n
， x
好坏 v
有个 r
什么 r
标准 n
？ x
那些 r
名人 n
的 uj
诗 n
明明 t
不好 d
， x
也 d
不是 c
都 d
发表 v
了 ul
吗 y
？ x
为什么 r
对 p
业余 n
作者 n
就 d
这样 r
苛求 v
呢 y
？ x
… x
… x
至于 p
我 r
自己 r
， x
好长时间 n
连 nr
一个 m
字 n
也 d
没有 v
发表 v
了 ul
。 x
前 f
一段 m
还 d
能 v
给 p
贺敏 x
写 v
点 m
爱情诗 nr
， x
现在 t
什么 r
诗 n
也 d
写 v
不 d
出来 v
了 ul
。 x
我 r
完全 ad
丧失 v
了 ul
创作 vn
的 uj
灵感 a
。 x
我 r
整天 m
昏昏沉沉 z
， x
什么 r
也 d
不能 v
使 v
我 r
激动 a
。 x
过来 t
的 uj
一切 r
都 d
变得 v
那么 r
遥远 a
。 x
就是 d
想一想 i
前不久 i
的 uj
事 n
， x
也 d
像 v
垂暮之年 i
的 uj
人 n
在 p
回忆 v
自己 r
的 uj
童年 t
， x
朦朦胧胧 z
的 uj
。 x
这天 r
下午 t
， x
我 r
像 v
往常 d
一样 r
， x
又 d
到 v
西华饭店 x
的 uj
小 n
酒铺 n
。 x
三盘 m
小菜 n
， x
二两 m
白酒 n
， x
自酌 v
自 p
饮 n
。 x
我 r
几乎 d
每天 r
都 d
要 v
把 p
一块 m
多 m
钱 n
送到 v
这里 r
， x
每月 r
的 uj
工资 vn
花 v
得 ud
不 d
剩 v
一分 m
。 x
刚 d
开始 v
工作 vn
的 uj
时候 n
， x
有点 n
稿费 n
， x
还 d
能 v
抽出 v
一二十元 m
寄给 v
家里 s
劳动 vn
的 uj
父母亲 n
， x
以 p
报答 v
他们 r
的 uj
养育之恩 nr
。 x
现在 t
没 v
稿费 n
， x
加之 c
在 p
抽烟 v
之外 f
又 d
多 m
了 ul
一项 m
酒 n
的 uj
开支 v
， x
也 d
就 d
再 d
不能 v
尽孝 v
道 q
了 ul
。 x
反正 d
现在 t
责任制 n
了 ul
， x
家里 s
起码 n
有 v
饭 n
吃 v
… x
… x
我 r
一边 d
喝酒 v
， x
一边 d
吃 v
菜 n
， x
一边 d
茫然 z
地 uv
看着 v
周围 f
的 uj
人 n
。 x
要么 c
。 x
就 d
在 p
心里 s
数着 m
小卖部 n
玻璃窗 n
后面 f
塑料 n
啤酒杯 n
。 x
从左到右 l
， x
一排 m
一排 m
往 zg
过数 n
。 x
数完 v
后 f
， x
又 d
从右到左 nr
往回 t
数 n
。 x
酒杯 n
有 v
拿走 v
的 uj
， x
也 d
有 v
交回来 l
的 uj
， x
每 zg
次数 n
完 v
后 f
数字 n
都 d
不 d
一样 r
。 x
如果 c
碰巧 d
有 v
两次 m
的 uj
数字 n
正好 a
相同 d
， x
心里 s
就 d
会 v
发出 v
一声 m
得意 v
的 uj
惊叹 v
， x
就 d
好像 v
过去 t
突然 ad
写 v
出来 v
一行 m
好 a
诗 n
一样 r
。 x
真 d
无聊 a
― x
― x
我 r
自己 r
也 d
知道 v
这 r
一点 m
一个 m
人 n
挡住 v
了 ul
我 r
的 uj
视线 n
― x
― x
从 p
背影 n
看 v
似乎 d
很 zg
熟悉 v
。 x
等 u
他 r
转过 v
来 v
， x
我 r
认出 v
这 r
是 v
副政委 n
的 uj
儿子 n
― x
― x
就是 d
上次 t
带我去 n
跳 v
的 uj
那个 r
人 n
。 x
他 r
也 d
认出 v
了 ul
我 r
， x
一只 m
手端 n
两盘 m
小菜 n
， x
一只 m
手 n
举 v
着 uz
一大 a
杯 q
啤酒 n
， x
过来 t
坐在 v
我 r
的 uj
桌旁 s
。 x
他 r
把 p
东西 ns
放下 v
， x
问 v
我 r
： x
“ x
你 r
那天 r
怎 r
偷偷 d
溜走 v
了 ul
？ x
” x
我 r
撒谎 v
说 v
： x
“ x
我 r
肚子 n
有点 n
疼 v
， x
也 d
没顾 v
得 ud
给 p
你 r
打招呼 v
… x
… x
” x
我们 r
把 p
彼此 r
的 uj
菜盘 n
拼在一起 l
， x
两个 m
人 n
举起 v
酒杯 n
碰 v
了 ul
一下 m
， x
就 d
一块 m
喝 vg
起来 v
。 x
“ x
还 d
去不去 t
？ x
” x
他 r
夹 v
了 ul
一口 m
菜 n
， x
边 d
嚼 v
辚 x
差别 d
我 r
。 x
我 r
勉强 v
笑了笑 l
， x
没有 v
回答 v
。 x
“ x
愿意 v
去 v
的话 u
， x
今天 t
晚上 t
还有 v
… x
… x
” x
我 r
的 uj
心动 n
了 ul
一下 m
。 x
我 r
不是 c
说 v
， x
我 r
现在 t
已经 d
愿意 v
去 v
跳 v
那种 r
迪斯科 nr
了 ul
。 x
我 r
是 v
想 v
在 p
舞会 n
上去 t
碰见 v
贺敏 x
。 x
这 r
也 d
不是 c
说 v
， x
我 r
还 d
对 p
她 r
有 v
什么 r
留恋 v
。 x
我 r
是 v
怀着 v
一种 m
恶毒 n
的 uj
心理 n
去 v
见 v
她 r
和 c
她 r
的 uj
那个 r
“ x
同学 n
” x
， x
想 v
给 p
他们 r
制造 v
尴尬 a
或 c
某种 r
不 d
愉快 a
或 c
其它 r
一些 m
什么 r
… x
… x
我 r
于是 c
随口 d
对 p
副政委 n
的 uj
儿子 n
说 v
： x
“ x
那 r
好 a
吧 y
， x
我 r
再 d
去 v
看看 v
。 x
” x
就 d
这样 r
， x
我 r
怀着 v
一种 m
说不清楚 l
的 uj
心理 n
状态 n
， x
当晚 t
又 d
出现 v
在 p
省军区 n
家属楼 n
的 uj
那个 r
单元 n
里 f
。 x
情况 n
还 d
和 c
上次 t
一样 r
， x
里间 f
正在 t
响 v
着 uz
“ x
弹棉花 n
” x
声 n
； x
虚开 v
的 uj
门缝 n
里 f
可以 c
看见 v
各种 r
扭动 v
的 uj
身姿 n
。 x
副政委 n
的 uj
儿子 n
给 p
我 r
打了个 n
招呼 v
， x
就 d
急匆匆 z
地 uv
投身于 n
那个 r
混乱 a
的 uj
场所 n
里 f
去 v
了 ul
。 x
我 r
坐在 v
客厅 n
的 uj
椅子 n
上 f
犹豫起来 l
。 x
这 r
一刻 m
， x
我 r
又 d
后悔 v
起来 v
， x
觉得 v
来 v
这里 r
没有 v
必要 d
。 x
既然 c
贺敏 x
是 v
这样 r
一个 m
人 n
， x
我 r
为什么 r
还要 c
和 c
她 r
纠缠 v
不休 v
呢 y
？ x
我 r
想 v
了 ul
一下 m
， x
准备 v
再 d
一次 m
从 p
这里 r
溜走 v
。 x
这时候 r
， x
我 r
发现 v
在 p
这 r
空荡 v
的 uj
客厅 n
里 f
还有 v
一个 m
姑娘 n
。 x
她 r
坐在 v
我 r
对面 n
的 uj
暗影 n
里 f
， x
一声不吭 l
地 uv
在 p
抠 v
自己 r
的 uj
手指头 n
。 x
我 r
站 v
起来 v
准备 v
走 v
的 uj
时候 n
， x
那 r
姑娘 n
似乎 d
奇怪 v
地 uv
看 v
了 ul
我 r
一眼 m
。 x
她 r
突然 ad
开口 n
说 v
： x
“ x
你 r
走 v
吗 y
？ x
” x
我 r
说 v
： x
“ x
嗯 e
。 x
我 r
不会 v
跳 v
。 x
” x
“ x
我 r
也 d
不会 v
跳 v
。 x
和 c
我 r
一块 m
来 v
的 uj
人 n
不 d
走 v
， x
我 r
想 v
回去 v
， x
晚 tg
了 ul
， x
不敢 d
走 v
… x
… x
你 r
是 v
哪个 r
单位 n
的 uj
？ x
” x
我 r
说 v
了 ul
我 r
的 uj
单位 n
。 x
我们 r
单位 n
是 v
个 q
有名 a
的 uj
单位 n
， x
这 r
姑娘 n
马上 d
说 v
她 r
知道 v
。 x
她 r
说 v
她 r
是 v
西华饭店 x
的 uj
， x
离 v
我们 r
单们 n
不远 d
。 x
“ x
西华饭店 x
？ x
我 r
常 d
在 p
那儿 r
吃饭 v
， x
好像 v
没见 v
过 ug
你 r
？ x
” x
我 r
说完 v
后 f
， x
那 r
姑娘 n
笑 v
了 ul
。 x
我 r
自己 r
也 d
忍不住 v
笑 v
了 ul
。 x
饭店 n
那么 r
大 a
， x
我 r
怎 r
能 v
认识 v
她 r
呢 y
？ x
她 r
说 v
： x
“ x
我 r
在 p
四楼 ns
， x
专 n
